0,4,1,68,31
1,4,2,7,114
2,4,0,2,31
3,4,1,1,31
4,4,1,2,31
5,4,2,12,139
6,4,0,1,31
7,4,0,1,31
8,4,2,1,31
9,4,2,1,31
10,4,1,4,228
11,4,1,1,31
12,4,0,1,31
13,4,1,5,225
14,4,3,2,137
15,4,1,2,114
16,4,2,5,305
17,4,1,1,31
18,4,0,1,114
19,4,0,1,114
20,4,1,3,438
21,4,0,1,31
22,4,0,0,31
23,4,0,1,31
24,4,0,1,31
25,4,0,1,114
26,4,0,1,31
27,4,1,1,31
28,4,1,1,31
29,4,1,2,139
30,4,0,0,31
31,4,1,0,31
32,4,2,4,226
33,4,0,1,31
34,4,1,1,137
35,4,0,0,31
36,4,0,1,31
37,4,0,1,31
38,4,0,1,114
39,4,0,1,114
40,4,2,1,31
41,4,1,1,137
42,4,1,0,31
43,4,1,1,114
44,4,1,1,114
45,4,1,1,31
46,4,3,3,225
47,4,0,1,114
48,4,2,1,114
49,4,1,0,31
,,0.84,3.02,89.16
